tss_id	ohn_fam	mm_cat	dre_cat	Connectivity
ENSDARG00000104101	ohn_fam_BL15957	1-2	2	1
BL15956	ohn_fam_BL15956	1-1	1	1
ENSDARG00000102618	ohn_fam_BL15956	1-1	1	0
BL15951	ohn_fam_BL15951	1-3	3	2
ENSDARG00000045304	ohn_fam_BL15951	1-3	3	0
ENSDARG00000060394	ohn_fam_BL15951	1-3	3	0
ENSDARG00000003940	ohn_fam_BL15951	1-3	3	1
BL15950	ohn_fam_BL15950	1-2	2	0
ENSDARG00000070573	ohn_fam_BL15950	1-2	2	0
ENSDARG00000027552	ohn_fam_BL15950	1-2	2	0
BL15953	ohn_fam_BL15953	1-1	1	0
ENSDARG00000101331	ohn_fam_BL15953	1-1	1	1
BL15952	ohn_fam_BL15952	1-1	1	0
ENSDARG00000026180	ohn_fam_BL15952	1-1	1	0
BL18297	ohn_fam_BL18297	1-1	1	0
ENSDARG00000053554	ohn_fam_BL18297	1-1	1	3
BL14779	ohn_fam_BL14779	1-1	1	0
ENSDARG00000057983	ohn_fam_BL14779	1-1	1	1
BL27974	ohn_fam_BL27974	1-1	1	0
ENSDARG00000069241	ohn_fam_BL27974	1-1	1	0
BL21487	ohn_fam_BL21487	1-2	2	0
ENSDARG00000071548	ohn_fam_BL21487	1-2	2	0
ENSDARG00000057626	ohn_fam_BL21487	1-2	2	0
BL21481	ohn_fam_BL21481	1-1	1	0
ENSDARG00000089183	ohn_fam_BL21481	1-1	1	0
BL04904	ohn_fam_BL04904	1-3	4	0
ENSDARG00000028148	ohn_fam_BL04904	1-3	4	4
ENSDARG00000032578	ohn_fam_BL04904	1-3	4	0
ENSDARG00000037383	ohn_fam_BL04904	1-3	4	1
ENSDARG00000015879	ohn_fam_BL04904	1-3	4	3
BL04905	ohn_fam_BL04905	1-1	2	1
ENSDARG00000101508	ohn_fam_BL04905	1-1	2	2
ENSDARG00000014480	ohn_fam_BL04905	1-1	2	2
BL04907	ohn_fam_BL04907	1-2	6	0
ENSDARG00000102423	ohn_fam_BL04907	1-2	6	0
ENSDARG00000023645	ohn_fam_BL04907	1-2	6	0
ENSDARG00000102243	ohn_fam_BL04907	1-2	6	0
ENSDARG00000098222	ohn_fam_BL04907	1-2	6	0
ENSDARG00000101791	ohn_fam_BL04907	1-2	6	1
ENSDARG00000100818	ohn_fam_BL04907	1-2	6	0
BL20280	ohn_fam_BL20280	1-1	1	0
ENSDARG00000057630	ohn_fam_BL20280	1-1	1	0
BL20289	ohn_fam_BL20289	1-1	1	0
ENSDARG00000098241	ohn_fam_BL20289	1-1	1	0
BL24992	ohn_fam_BL24992	1-1	1	0
ENSDARG00000090581	ohn_fam_BL24992	1-1	1	0
BL24994	ohn_fam_BL24994	1-1	1	0
ENSDARG00000057577	ohn_fam_BL24994	1-1	1	0
BL24668	ohn_fam_BL24668	1-1	1	0
ENSDARG00000008472	ohn_fam_BL24668	1-1	1	0
BL24663	ohn_fam_BL24663	1-2	4	0
ENSDARG00000013582	ohn_fam_BL24663	1-2	4	1
ENSDARG00000012818	ohn_fam_BL24663	1-2	4	0
ENSDARG00000014222	ohn_fam_BL24663	1-2	4	0
ENSDARG00000002082	ohn_fam_BL24663	1-2	4	0
BL24667	ohn_fam_BL24667	1-1	1	0
ENSDARG00000038475	ohn_fam_BL24667	1-1	1	2
BL24664	ohn_fam_BL24664	1-1	1	0
ENSDARG00000057011	ohn_fam_BL24664	1-1	1	0
BL07764	ohn_fam_BL07764	1-1	1	0
ENSDARG00000095579	ohn_fam_BL07764	1-1	1	0
BL07763	ohn_fam_BL07763	1-1	1	0
ENSDARG00000063624	ohn_fam_BL07763	1-1	1	0
BL07769	ohn_fam_BL07769	1-2	3	1
ENSDARG00000001442	ohn_fam_BL07769	1-2	3	1
ENSDARG00000104222	ohn_fam_BL07769	1-2	3	0
ENSDARG00000074283	ohn_fam_BL07769	1-2	3	0
BL21284	ohn_fam_BL21284	1-1	1	2
ENSDARG00000061042	ohn_fam_BL21284	1-1	1	0
BL21905	ohn_fam_BL21905	1-1	1	0
ENSDARG00000036061	ohn_fam_BL21905	1-1	1	0
BL21909	ohn_fam_BL21909	1-2	1	2
ENSDARG00000079985	ohn_fam_BL21909	1-2	1	0
BL04320	ohn_fam_BL04320	1-2	4	0
ENSDARG00000034262	ohn_fam_BL04320	1-2	4	1
ENSDARG00000057125	ohn_fam_BL04320	1-2	4	0
ENSDARG00000056191	ohn_fam_BL04320	1-2	4	0
ENSDARG00000056228	ohn_fam_BL04320	1-2	4	1
BL06413	ohn_fam_BL06413	1-3	2	0
ENSDARG00000071410	ohn_fam_BL06413	1-3	2	0
ENSDARG00000007971	ohn_fam_BL06413	1-3	2	1
BL10442	ohn_fam_BL10442	1-2	2	0
ENSDARG00000063672	ohn_fam_BL10442	1-2	2	0
ENSDARG00000062165	ohn_fam_BL10442	1-2	2	0
BL05267	ohn_fam_BL05267	1-1	2	1
ENSDARG00000101145	ohn_fam_BL05267	1-1	2	0
ENSDARG00000063037	ohn_fam_BL05267	1-1	2	1
BL05262	ohn_fam_BL05262	1-2	2	0
ENSDARG00000098622	ohn_fam_BL05262	1-2	2	0
ENSDARG00000098529	ohn_fam_BL05262	1-2	2	1
BL05260	ohn_fam_BL05260	1-1	2	0
ENSDARG00000008946	ohn_fam_BL05260	1-1	2	0
ENSDARG00000099190	ohn_fam_BL05260	1-1	2	0
BL05268	ohn_fam_BL05268	1-1	1	1
ENSDARG00000091512	ohn_fam_BL05268	1-1	1	0
BL41670	ohn_fam_BL41670	1-1	1	1
ENSDARG00000098391	ohn_fam_BL41670	1-1	1	0
BL05196	ohn_fam_BL05196	1-4	4	0
ENSDARG00000015890	ohn_fam_BL05196	1-4	4	2
ENSDARG00000044155	ohn_fam_BL05196	1-4	4	0
ENSDARG00000017121	ohn_fam_BL05196	1-4	4	2
ENSDARG00000076520	ohn_fam_BL05196	1-4	4	2
BL05199	ohn_fam_BL05199	1-2	2	0
ENSDARG00000103271	ohn_fam_BL05199	1-2	2	0
ENSDARG00000099424	ohn_fam_BL05199	1-2	2	0
BL16840	ohn_fam_BL16840	1-1	2	0
ENSDARG00000045877	ohn_fam_BL16840	1-1	2	0
ENSDARG00000008748	ohn_fam_BL16840	1-1	2	0
BL16846	ohn_fam_BL16846	1-1	1	1
ENSDARG00000010316	ohn_fam_BL16846	1-1	1	0
BL00922	ohn_fam_BL00922	1-1	1	0
ENSDARG00000011247	ohn_fam_BL00922	1-1	1	0
BL21459	ohn_fam_BL21459	1-1	1	0
ENSDARG00000102892	ohn_fam_BL21459	1-1	1	0
BL23155	ohn_fam_BL23155	1-1	1	2
ENSDARG00000013719	ohn_fam_BL23155	1-1	1	0
BL03697	ohn_fam_BL03697	1-1	1	0
ENSDARG00000041314	ohn_fam_BL03697	1-1	1	0
BL09754	ohn_fam_BL09754	1-1	1	0
ENSDARG00000026811	ohn_fam_BL09754	1-1	1	0
BL16151	ohn_fam_BL16151	1-1	1	1
ENSDARG00000102288	ohn_fam_BL16151	1-1	1	0
BL16156	ohn_fam_BL16156	1-1	1	0
ENSDARG00000004204	ohn_fam_BL16156	1-1	1	1
BL16157	ohn_fam_BL16157	1-2	2	2
ENSDARG00000059646	ohn_fam_BL16157	1-2	2	0
ENSDARG00000062949	ohn_fam_BL16157	1-2	2	0
BL17409	ohn_fam_BL17409	1-2	3	0
ENSDARG00000074572	ohn_fam_BL17409	1-2	3	2
ENSDARG00000017741	ohn_fam_BL17409	1-2	3	1
ENSDARG00000014790	ohn_fam_BL17409	1-2	3	0
BL12439	ohn_fam_BL12439	1-1	1	0
ENSDARG00000070801	ohn_fam_BL12439	1-1	1	0
BL17404	ohn_fam_BL17404	1-1	1	0
ENSDARG00000059459	ohn_fam_BL17404	1-1	1	0
BL12435	ohn_fam_BL12435	1-2	2	1
ENSDARG00000057942	ohn_fam_BL12435	1-2	2	0
ENSDARG00000040157	ohn_fam_BL12435	1-2	2	0
BL16754	ohn_fam_BL16754	1-3	3	1
ENSDARG00000055798	ohn_fam_BL16754	1-3	3	0
ENSDARG00000070538	ohn_fam_BL16754	1-3	3	2
ENSDARG00000013441	ohn_fam_BL16754	1-3	3	3
BL24259	ohn_fam_BL24259	1-2	2	0
ENSDARG00000041691	ohn_fam_BL24259	1-2	2	0
ENSDARG00000004060	ohn_fam_BL24259	1-2	2	4
BL13528	ohn_fam_BL13528	1-1	1	1
ENSDARG00000051889	ohn_fam_BL13528	1-1	1	0
BL13523	ohn_fam_BL13523	1-1	2	0
ENSDARG00000088258	ohn_fam_BL13523	1-1	2	0
ENSDARG00000035837	ohn_fam_BL13523	1-1	2	1
BL13385	ohn_fam_BL13385	1-1	2	1
ENSDARG00000102539	ohn_fam_BL13385	1-1	2	0
ENSDARG00000075450	ohn_fam_BL13385	1-1	2	0
BL13383	ohn_fam_BL13383	1-2	3	1
ENSDARG00000061304	ohn_fam_BL13383	1-2	3	0
ENSDARG00000071709	ohn_fam_BL13383	1-2	3	0
ENSDARG00000079366	ohn_fam_BL13383	1-2	3	3
BL10871	ohn_fam_BL10871	1-1	1	0
ENSDARG00000017813	ohn_fam_BL10871	1-1	1	0
BL10870	ohn_fam_BL10870	1-1	1	0
ENSDARG00000078315	ohn_fam_BL10870	1-1	1	0
BL09030	ohn_fam_BL09030	1-1	1	0
ENSDARG00000059046	ohn_fam_BL09030	1-1	1	1
BL22107	ohn_fam_BL22107	1-1	1	0
ENSDARG00000077442	ohn_fam_BL22107	1-1	1	0
BL22102	ohn_fam_BL22102	1-2	2	0
ENSDARG00000038812	ohn_fam_BL22102	1-2	2	2
ENSDARG00000101578	ohn_fam_BL22102	1-2	2	1
BL10125	ohn_fam_BL10125	1-1	1	3
ENSDARG00000043684	ohn_fam_BL10125	1-1	1	0
BL11833	ohn_fam_BL11833	1-1	1	1
ENSDARG00000102937	ohn_fam_BL11833	1-1	1	1
BL11837	ohn_fam_BL11837	1-1	1	1
ENSDARG00000089236	ohn_fam_BL11837	1-1	1	2
BL11834	ohn_fam_BL11834	1-2	3	1
ENSDARG00000056374	ohn_fam_BL11834	1-2	3	0
ENSDARG00000041294	ohn_fam_BL11834	1-2	3	0
ENSDARG00000033735	ohn_fam_BL11834	1-2	3	0
BL11839	ohn_fam_BL11839	1-1	1	0
ENSDARG00000027099	ohn_fam_BL11839	1-1	1	0
BL60539	ohn_fam_BL60539	1-1	1	0
ENSDARG00000059606	ohn_fam_BL60539	1-1	1	0
BL08071	ohn_fam_BL08071	1-2	2	0
ENSDARG00000026634	ohn_fam_BL08071	1-2	2	1
ENSDARG00000102325	ohn_fam_BL08071	1-2	2	0
BL19825	ohn_fam_BL19825	1-1	2	0
ENSDARG00000091598	ohn_fam_BL19825	1-1	2	1
ENSDARG00000052408	ohn_fam_BL19825	1-1	2	0
BL19827	ohn_fam_BL19827	1-1	1	0
ENSDARG00000057299	ohn_fam_BL19827	1-1	1	1
BL20613	ohn_fam_BL20613	1-2	1	0
ENSDARG00000013371	ohn_fam_BL20613	1-2	1	0
BL15264	ohn_fam_BL15264	1-1	1	0
ENSDARG00000060069	ohn_fam_BL15264	1-1	1	0
BL14922	ohn_fam_BL14922	1-1	1	0
ENSDARG00000052747	ohn_fam_BL14922	1-1	1	1
BL14925	ohn_fam_BL14925	1-1	1	0
ENSDARG00000014898	ohn_fam_BL14925	1-1	1	0
BL01529	ohn_fam_BL01529	1-1	1	1
ENSDARG00000088699	ohn_fam_BL01529	1-1	1	0
BL22927	ohn_fam_BL22927	1-1	2	0
ENSDARG00000057055	ohn_fam_BL22927	1-1	2	0
ENSDARG00000051986	ohn_fam_BL22927	1-1	2	0
BL17360	ohn_fam_BL17360	1-1	1	1
ENSDARG00000078654	ohn_fam_BL17360	1-1	1	0
BL17368	ohn_fam_BL17368	1-1	1	0
ENSDARG00000069446	ohn_fam_BL17368	1-1	1	2
BL17369	ohn_fam_BL17369	1-2	1	0
ENSDARG00000100657	ohn_fam_BL17369	1-2	1	0
BL18489	ohn_fam_BL18489	1-2	2	0
ENSDARG00000017901	ohn_fam_BL18489	1-2	2	3
ENSDARG00000100729	ohn_fam_BL18489	1-2	2	2
BL19281	ohn_fam_BL19281	1-2	1	1
ENSDARG00000099184	ohn_fam_BL19281	1-2	1	0
BL19282	ohn_fam_BL19282	1-1	1	1
ENSDARG00000031775	ohn_fam_BL19282	1-1	1	0
BL26124	ohn_fam_BL26124	1-1	1	0
ENSDARG00000076017	ohn_fam_BL26124	1-1	1	0
BL82149	ohn_fam_BL82149	1-2	2	0
ENSDARG00000090656	ohn_fam_BL82149	1-2	2	3
ENSDARG00000043873	ohn_fam_BL82149	1-2	2	0
BL73969	ohn_fam_BL73969	1-1	1	0
ENSDARG00000070150	ohn_fam_BL73969	1-1	1	0
BL19757	ohn_fam_BL19757	1-1	1	1
ENSDARG00000017180	ohn_fam_BL19757	1-1	1	0
BL19755	ohn_fam_BL19755	1-2	4	0
ENSDARG00000059965	ohn_fam_BL19755	1-2	4	1
ENSDARG00000019208	ohn_fam_BL19755	1-2	4	2
ENSDARG00000035122	ohn_fam_BL19755	1-2	4	0
ENSDARG00000062173	ohn_fam_BL19755	1-2	4	0
BL04001	ohn_fam_BL04001	1-1	1	0
ENSDARG00000025404	ohn_fam_BL04001	1-1	1	0
BL04003	ohn_fam_BL04003	1-1	1	1
ENSDARG00000090301	ohn_fam_BL04003	1-1	1	0
BL22354	ohn_fam_BL22354	1-2	3	0
ENSDARG00000033516	ohn_fam_BL22354	1-2	3	1
ENSDARG00000069318	ohn_fam_BL22354	1-2	3	0
ENSDARG00000005163	ohn_fam_BL22354	1-2	3	2
BL21362	ohn_fam_BL21362	1-1	1	0
ENSDARG00000055472	ohn_fam_BL21362	1-1	1	0
BL21364	ohn_fam_BL21364	1-1	1	1
ENSDARG00000003963	ohn_fam_BL21364	1-1	1	2
BL03389	ohn_fam_BL03389	1-1	1	0
ENSDARG00000011510	ohn_fam_BL03389	1-1	1	2
BL13186	ohn_fam_BL13186	1-1	1	0
ENSDARG00000070986	ohn_fam_BL13186	1-1	1	0
BL22352	ohn_fam_BL22352	1-2	3	1
ENSDARG00000036943	ohn_fam_BL22352	1-2	3	1
ENSDARG00000044225	ohn_fam_BL22352	1-2	3	0
ENSDARG00000052851	ohn_fam_BL22352	1-2	3	0
BL18900	ohn_fam_BL18900	1-3	3	0
ENSDARG00000056566	ohn_fam_BL18900	1-3	3	0
ENSDARG00000074794	ohn_fam_BL18900	1-3	3	0
ENSDARG00000056745	ohn_fam_BL18900	1-3	3	3
BL18905	ohn_fam_BL18905	1-2	3	0
ENSDARG00000003032	ohn_fam_BL18905	1-2	3	1
ENSDARG00000092115	ohn_fam_BL18905	1-2	3	1
ENSDARG00000016477	ohn_fam_BL18905	1-2	3	0
BL95490	ohn_fam_BL95490	1-1	1	0
ENSDARG00000012899	ohn_fam_BL95490	1-1	1	1
BL18906	ohn_fam_BL18906	1-1	1	0
ENSDARG00000027826	ohn_fam_BL18906	1-1	1	2
BL06335	ohn_fam_BL06335	1-1	1	0
ENSDARG00000053652	ohn_fam_BL06335	1-1	1	0
BL10524	ohn_fam_BL10524	1-1	1	1
ENSDARG00000071240	ohn_fam_BL10524	1-1	1	0
BL06330	ohn_fam_BL06330	1-3	3	0
ENSDARG00000100163	ohn_fam_BL06330	1-3	3	0
ENSDARG00000032317	ohn_fam_BL06330	1-3	3	3
ENSDARG00000100055	ohn_fam_BL06330	1-3	3	0
BL03861	ohn_fam_BL03861	1-2	1	0
ENSDARG00000074602	ohn_fam_BL03861	1-2	1	0
BL01644	ohn_fam_BL01644	1-3	2	0
ENSDARG00000059987	ohn_fam_BL01644	1-3	2	0
ENSDARG00000060165	ohn_fam_BL01644	1-3	2	2
BL01645	ohn_fam_BL01645	1-1	1	0
ENSDARG00000099679	ohn_fam_BL01645	1-1	1	0
BL01647	ohn_fam_BL01647	1-1	2	0
ENSDARG00000070541	ohn_fam_BL01647	1-1	2	0
ENSDARG00000040930	ohn_fam_BL01647	1-1	2	0
BL10432	ohn_fam_BL10432	1-1	1	0
ENSDARG00000057064	ohn_fam_BL10432	1-1	1	0
BL07454	ohn_fam_BL07454	1-1	1	1
ENSDARG00000039412	ohn_fam_BL07454	1-1	1	0
BL08278	ohn_fam_BL08278	1-1	1	0
ENSDARG00000011723	ohn_fam_BL08278	1-1	1	0
BL00060	ohn_fam_BL00060	1-2	1	0
ENSDARG00000062248	ohn_fam_BL00060	1-2	1	0
BL00065	ohn_fam_BL00065	1-1	1	0
ENSDARG00000005500	ohn_fam_BL00065	1-1	1	0
BL01569	ohn_fam_BL01569	1-2	3	0
ENSDARG00000055629	ohn_fam_BL01569	1-2	3	0
ENSDARG00000012816	ohn_fam_BL01569	1-2	3	0
ENSDARG00000061747	ohn_fam_BL01569	1-2	3	0
BL04763	ohn_fam_BL04763	1-1	2	0
ENSDARG00000104458	ohn_fam_BL04763	1-1	2	1
ENSDARG00000069461	ohn_fam_BL04763	1-1	2	0
BL06114	ohn_fam_BL06114	1-1	2	0
ENSDARG00000101996	ohn_fam_BL06114	1-1	2	0
ENSDARG00000025718	ohn_fam_BL06114	1-1	2	0
BL19892	ohn_fam_BL19892	1-1	1	0
ENSDARG00000040556	ohn_fam_BL19892	1-1	1	0
BL24020	ohn_fam_BL24020	1-2	3	0
ENSDARG00000005364	ohn_fam_BL24020	1-2	3	3
ENSDARG00000075802	ohn_fam_BL24020	1-2	3	0
ENSDARG00000098667	ohn_fam_BL24020	1-2	3	0
BL96878	ohn_fam_BL96878	1-3	2	2
ENSDARG00000053380	ohn_fam_BL96878	1-3	2	0
ENSDARG00000079008	ohn_fam_BL96878	1-3	2	0
BL19897	ohn_fam_BL19897	1-1	1	0
ENSDARG00000104413	ohn_fam_BL19897	1-1	1	1
BL21700	ohn_fam_BL21700	1-3	3	0
ENSDARG00000059832	ohn_fam_BL21700	1-3	3	0
ENSDARG00000078529	ohn_fam_BL21700	1-3	3	0
ENSDARG00000075133	ohn_fam_BL21700	1-3	3	0
BL00687	ohn_fam_BL00687	1-1	1	0
ENSDARG00000010149	ohn_fam_BL00687	1-1	1	0
BL00686	ohn_fam_BL00686	1-1	1	1
ENSDARG00000076939	ohn_fam_BL00686	1-1	1	0
BL00682	ohn_fam_BL00682	1-2	3	0
ENSDARG00000104076	ohn_fam_BL00682	1-2	3	1
ENSDARG00000062450	ohn_fam_BL00682	1-2	3	0
ENSDARG00000062900	ohn_fam_BL00682	1-2	3	0
BL11503	ohn_fam_BL11503	1-1	1	0
ENSDARG00000062016	ohn_fam_BL11503	1-1	1	0
BL11501	ohn_fam_BL11501	1-1	1	0
ENSDARG00000040615	ohn_fam_BL11501	1-1	1	1
BL05440	ohn_fam_BL05440	1-4	3	0
ENSDARG00000076127	ohn_fam_BL05440	1-4	3	1
ENSDARG00000079586	ohn_fam_BL05440	1-4	3	0
ENSDARG00000023771	ohn_fam_BL05440	1-4	3	0
BL11270	ohn_fam_BL11270	1-4	5	0
ENSDARG00000070000	ohn_fam_BL11270	1-4	5	3
ENSDARG00000036107	ohn_fam_BL11270	1-4	5	0
ENSDARG00000020761	ohn_fam_BL11270	1-4	5	0
ENSDARG00000036028	ohn_fam_BL11270	1-4	5	0
ENSDARG00000052690	ohn_fam_BL11270	1-4	5	3
BL02350	ohn_fam_BL02350	1-2	3	0
ENSDARG00000079097	ohn_fam_BL02350	1-2	3	0
ENSDARG00000077073	ohn_fam_BL02350	1-2	3	0
ENSDARG00000089190	ohn_fam_BL02350	1-2	3	0
BL20988	ohn_fam_BL20988	1-1	1	0
ENSDARG00000034256	ohn_fam_BL20988	1-1	1	0
BL02354	ohn_fam_BL02354	1-1	1	0
ENSDARG00000037891	ohn_fam_BL02354	1-1	1	0
BL12088	ohn_fam_BL12088	1-4	4	0
ENSDARG00000042934	ohn_fam_BL12088	1-4	4	0
ENSDARG00000104292	ohn_fam_BL12088	1-4	4	0
ENSDARG00000023062	ohn_fam_BL12088	1-4	4	0
ENSDARG00000077882	ohn_fam_BL12088	1-4	4	0
BL12080	ohn_fam_BL12080	1-2	1	2
ENSDARG00000062521	ohn_fam_BL12080	1-2	1	1
BL12081	ohn_fam_BL12081	1-2	1	0
ENSDARG00000011125	ohn_fam_BL12081	1-2	1	1
BL24215	ohn_fam_BL24215	1-1	2	0
ENSDARG00000077962	ohn_fam_BL24215	1-1	2	0
ENSDARG00000061921	ohn_fam_BL24215	1-1	2	0
BL95591	ohn_fam_BL95591	1-2	3	1
ENSDARG00000054218	ohn_fam_BL95591	1-2	3	0
ENSDARG00000052537	ohn_fam_BL95591	1-2	3	1
ENSDARG00000067889	ohn_fam_BL95591	1-2	3	0
BL17619	ohn_fam_BL17619	1-1	1	1
ENSDARG00000057699	ohn_fam_BL17619	1-1	1	0
BL17614	ohn_fam_BL17614	1-1	1	0
ENSDARG00000060411	ohn_fam_BL17614	1-1	1	0
BL15616	ohn_fam_BL15616	1-3	4	0
ENSDARG00000026333	ohn_fam_BL15616	1-3	4	0
ENSDARG00000020443	ohn_fam_BL15616	1-3	4	0
ENSDARG00000043410	ohn_fam_BL15616	1-3	4	0
ENSDARG00000036952	ohn_fam_BL15616	1-3	4	0
BL15612	ohn_fam_BL15612	1-2	2	1
ENSDARG00000013705	ohn_fam_BL15612	1-2	2	0
ENSDARG00000063089	ohn_fam_BL15612	1-2	2	0
BL15618	ohn_fam_BL15618	1-2	2	0
ENSDARG00000098646	ohn_fam_BL15618	1-2	2	0
ENSDARG00000054199	ohn_fam_BL15618	1-2	2	0
BL15619	ohn_fam_BL15619	1-4	4	0
ENSDARG00000045132	ohn_fam_BL15619	1-4	4	1
ENSDARG00000013623	ohn_fam_BL15619	1-4	4	0
ENSDARG00000021564	ohn_fam_BL15619	1-4	4	0
ENSDARG00000003695	ohn_fam_BL15619	1-4	4	2
BL19610	ohn_fam_BL19610	1-1	1	0
ENSDARG00000060380	ohn_fam_BL19610	1-1	1	0
BL19616	ohn_fam_BL19616	1-1	1	0
ENSDARG00000070673	ohn_fam_BL19616	1-1	1	0
BL19614	ohn_fam_BL19614	1-1	1	1
ENSDARG00000104765	ohn_fam_BL19614	1-1	1	0
BL24230	ohn_fam_BL24230	1-1	1	0
ENSDARG00000016855	ohn_fam_BL24230	1-1	1	0
BL06133	ohn_fam_BL06133	1-1	1	0
ENSDARG00000005374	ohn_fam_BL06133	1-1	1	0
BL06132	ohn_fam_BL06132	1-1	1	0
ENSDARG00000058861	ohn_fam_BL06132	1-1	1	0
BL06134	ohn_fam_BL06134	1-2	2	0
ENSDARG00000105214	ohn_fam_BL06134	1-2	2	0
ENSDARG00000104384	ohn_fam_BL06134	1-2	2	1
BL06138	ohn_fam_BL06138	1-1	1	0
ENSDARG00000005926	ohn_fam_BL06138	1-1	1	0
BL21773	ohn_fam_BL21773	1-1	1	0
ENSDARG00000045095	ohn_fam_BL21773	1-1	1	0
BL21770	ohn_fam_BL21770	1-1	1	0
ENSDARG00000018008	ohn_fam_BL21770	1-1	1	0
BL21774	ohn_fam_BL21774	1-1	1	1
ENSDARG00000076965	ohn_fam_BL21774	1-1	1	0
BL06685	ohn_fam_BL06685	1-3	3	0
ENSDARG00000015970	ohn_fam_BL06685	1-3	3	3
ENSDARG00000035540	ohn_fam_BL06685	1-3	3	2
ENSDARG00000074747	ohn_fam_BL06685	1-3	3	0
BL06129	ohn_fam_BL06129	1-1	1	0
ENSDARG00000076991	ohn_fam_BL06129	1-1	1	0
BL23953	ohn_fam_BL23953	1-4	4	0
ENSDARG00000056619	ohn_fam_BL23953	1-4	4	1
ENSDARG00000035420	ohn_fam_BL23953	1-4	4	0
ENSDARG00000010654	ohn_fam_BL23953	1-4	4	2
ENSDARG00000078326	ohn_fam_BL23953	1-4	4	3
BL24227	ohn_fam_BL24227	1-2	2	0
ENSDARG00000078139	ohn_fam_BL24227	1-2	2	0
ENSDARG00000060734	ohn_fam_BL24227	1-2	2	3
BL12588	ohn_fam_BL12588	1-3	1	1
ENSDARG00000056130	ohn_fam_BL12588	1-3	1	4
BL18841	ohn_fam_BL18841	1-1	1	0
ENSDARG00000014479	ohn_fam_BL18841	1-1	1	0
BL01483	ohn_fam_BL01483	1-1	1	0
ENSDARG00000020699	ohn_fam_BL01483	1-1	1	1
BL01480	ohn_fam_BL01480	1-2	3	0
ENSDARG00000033184	ohn_fam_BL01480	1-2	3	1
ENSDARG00000036446	ohn_fam_BL01480	1-2	3	1
ENSDARG00000009477	ohn_fam_BL01480	1-2	3	0
BL01484	ohn_fam_BL01484	1-1	1	0
ENSDARG00000075593	ohn_fam_BL01484	1-1	1	0
BL20428	ohn_fam_BL20428	1-1	1	2
ENSDARG00000018650	ohn_fam_BL20428	1-1	1	3
BL19170	ohn_fam_BL19170	1-3	5	1
ENSDARG00000063309	ohn_fam_BL19170	1-3	5	0
ENSDARG00000023443	ohn_fam_BL19170	1-3	5	0
ENSDARG00000077506	ohn_fam_BL19170	1-3	5	1
ENSDARG00000079374	ohn_fam_BL19170	1-3	5	0
ENSDARG00000002909	ohn_fam_BL19170	1-3	5	0
BL20945	ohn_fam_BL20945	1-1	2	0
ENSDARG00000075487	ohn_fam_BL20945	1-1	2	1
ENSDARG00000074033	ohn_fam_BL20945	1-1	2	1
BL01468	ohn_fam_BL01468	1-1	1	1
ENSDARG00000071694	ohn_fam_BL01468	1-1	1	0
BL54023	ohn_fam_BL54023	1-1	1	0
ENSDARG00000099453	ohn_fam_BL54023	1-1	1	0
BL05568	ohn_fam_BL05568	1-1	1	0
ENSDARG00000007092	ohn_fam_BL05568	1-1	1	0
BL05564	ohn_fam_BL05564	1-3	5	0
ENSDARG00000062748	ohn_fam_BL05564	1-3	5	0
ENSDARG00000101293	ohn_fam_BL05564	1-3	5	0
ENSDARG00000060184	ohn_fam_BL05564	1-3	5	1
ENSDARG00000101983	ohn_fam_BL05564	1-3	5	0
ENSDARG00000079585	ohn_fam_BL05564	1-3	5	0
BL03249	ohn_fam_BL03249	1-1	1	0
ENSDARG00000074955	ohn_fam_BL03249	1-1	1	0
BL04216	ohn_fam_BL04216	1-2	2	0
ENSDARG00000035390	ohn_fam_BL04216	1-2	2	0
ENSDARG00000038239	ohn_fam_BL04216	1-2	2	0
BL03241	ohn_fam_BL03241	1-1	1	0
ENSDARG00000074506	ohn_fam_BL03241	1-1	1	0
BL04211	ohn_fam_BL04211	1-2	1	0
ENSDARG00000008706	ohn_fam_BL04211	1-2	1	0
BL02504	ohn_fam_BL02504	1-1	1	1
ENSDARG00000063636	ohn_fam_BL02504	1-1	1	0
BL08402	ohn_fam_BL08402	1-1	1	0
ENSDARG00000003829	ohn_fam_BL08402	1-1	1	0
BL07331	ohn_fam_BL07331	1-2	2	0
ENSDARG00000023448	ohn_fam_BL07331	1-2	2	0
ENSDARG00000053190	ohn_fam_BL07331	1-2	2	4
BL06321	ohn_fam_BL06321	1-2	2	1
ENSDARG00000061335	ohn_fam_BL06321	1-2	2	0
ENSDARG00000099227	ohn_fam_BL06321	1-2	2	0
BL14114	ohn_fam_BL14114	1-2	2	1
ENSDARG00000077852	ohn_fam_BL14114	1-2	2	2
ENSDARG00000060354	ohn_fam_BL14114	1-2	2	0
BL09765	ohn_fam_BL09765	1-1	1	0
ENSDARG00000102590	ohn_fam_BL09765	1-1	1	0
BL95582	ohn_fam_BL95582	1-4	6	0
ENSDARG00000017742	ohn_fam_BL95582	1-4	6	0
ENSDARG00000025671	ohn_fam_BL95582	1-4	6	0
ENSDARG00000076508	ohn_fam_BL95582	1-4	6	0
ENSDARG00000040156	ohn_fam_BL95582	1-4	6	0
ENSDARG00000100267	ohn_fam_BL95582	1-4	6	1
ENSDARG00000077654	ohn_fam_BL95582	1-4	6	0
BL21209	ohn_fam_BL21209	1-2	2	0
