Bla	Dre	mm_cat	dre_cat
BL13528	ENSDARG00000051889	1-1	1
BL13523	ENSDARG00000088258	1-1	2
BL13523	ENSDARG00000035837	1-1	2
BL13385	ENSDARG00000102539	1-1	2
BL13385	ENSDARG00000075450	1-1	2
BL13383	ENSDARG00000061304	1-2	3
BL13383	ENSDARG00000071709	1-2	3
BL13383	ENSDARG00000079366	1-2	3
BL10871	ENSDARG00000017813	1-1	1
BL10870	ENSDARG00000078315	1-1	1
BL09030	ENSDARG00000059046	1-1	1
BL22107	ENSDARG00000077442	1-1	1
BL22102	ENSDARG00000038812	1-2	2
BL22102	ENSDARG00000101578	1-2	2
BL10125	ENSDARG00000043684	1-1	1
BL11833	ENSDARG00000102937	1-1	1
BL11837	ENSDARG00000089236	1-1	1
BL11834	ENSDARG00000056374	1-2	3
BL11834	ENSDARG00000041294	1-2	3
BL11834	ENSDARG00000033735	1-2	3
BL11839	ENSDARG00000027099	1-1	1
BL60539	ENSDARG00000059606	1-1	1
BL08071	ENSDARG00000026634	1-2	2
BL08071	ENSDARG00000102325	1-2	2
BL19825	ENSDARG00000091598	1-1	2
BL19825	ENSDARG00000052408	1-1	2
BL19827	ENSDARG00000057299	1-1	1
BL20613	ENSDARG00000013371	1-2	1
BL15264	ENSDARG00000060069	1-1	1
BL14922	ENSDARG00000052747	1-1	1
BL14925	ENSDARG00000014898	1-1	1
BL01529	ENSDARG00000088699	1-1	1
BL22927	ENSDARG00000057055	1-1	2
BL22927	ENSDARG00000051986	1-1	2
BL17360	ENSDARG00000078654	1-1	1
BL17368	ENSDARG00000069446	1-1	1
BL17369	ENSDARG00000100657	1-2	1
BL18489	ENSDARG00000017901	1-2	2
BL18489	ENSDARG00000100729	1-2	2
BL19281	ENSDARG00000099184	1-2	1
BL19282	ENSDARG00000031775	1-1	1
BL26124	ENSDARG00000076017	1-1	1
BL82149	ENSDARG00000090656	1-2	2
BL82149	ENSDARG00000043873	1-2	2
BL73969	ENSDARG00000070150	1-1	1
BL19757	ENSDARG00000017180	1-1	1
BL19755	ENSDARG00000059965	1-2	4
BL19755	ENSDARG00000019208	1-2	4
BL19755	ENSDARG00000035122	1-2	4
BL19755	ENSDARG00000062173	1-2	4
BL04001	ENSDARG00000025404	1-1	1
BL04003	ENSDARG00000090301	1-1	1
BL22354	ENSDARG00000033516	1-2	3
BL22354	ENSDARG00000069318	1-2	3
BL22354	ENSDARG00000005163	1-2	3
BL21362	ENSDARG00000055472	1-1	1
BL21364	ENSDARG00000003963	1-1	1
BL03389	ENSDARG00000011510	1-1	1
BL13186	ENSDARG00000070986	1-1	1
BL22352	ENSDARG00000036943	1-2	3
BL22352	ENSDARG00000044225	1-2	3
BL22352	ENSDARG00000052851	1-2	3
BL18900	ENSDARG00000056566	1-3	3
BL18900	ENSDARG00000074794	1-3	3
BL18900	ENSDARG00000056745	1-3	3
BL18905	ENSDARG00000003032	1-2	3
BL18905	ENSDARG00000092115	1-2	3
BL18905	ENSDARG00000016477	1-2	3
BL95490	ENSDARG00000012899	1-1	1
BL18906	ENSDARG00000027826	1-1	1
BL06335	ENSDARG00000053652	1-1	1
BL10524	ENSDARG00000071240	1-1	1
BL06330	ENSDARG00000100163	1-3	3
BL06330	ENSDARG00000032317	1-3	3
BL06330	ENSDARG00000100055	1-3	3
BL03861	ENSDARG00000074602	1-2	1
BL01644	ENSDARG00000059987	1-3	2
BL01644	ENSDARG00000060165	1-3	2
BL01645	ENSDARG00000099679	1-1	1
BL01647	ENSDARG00000070541	1-1	2
BL01647	ENSDARG00000040930	1-1	2
BL10432	ENSDARG00000057064	1-1	1
BL07454	ENSDARG00000039412	1-1	1
BL08278	ENSDARG00000011723	1-1	1
BL00060	ENSDARG00000062248	1-2	1
BL00065	ENSDARG00000005500	1-1	1
BL01569	ENSDARG00000055629	1-2	3
BL01569	ENSDARG00000012816	1-2	3
BL01569	ENSDARG00000061747	1-2	3
BL04763	ENSDARG00000104458	1-1	2
BL04763	ENSDARG00000069461	1-1	2
BL06114	ENSDARG00000101996	1-1	2
BL06114	ENSDARG00000025718	1-1	2
BL19892	ENSDARG00000040556	1-1	1
BL24020	ENSDARG00000005364	1-2	3
BL24020	ENSDARG00000075802	1-2	3
BL24020	ENSDARG00000098667	1-2	3
BL96878	ENSDARG00000053380	1-3	2
BL96878	ENSDARG00000079008	1-3	2
BL19897	ENSDARG00000104413	1-1	1
BL21700	ENSDARG00000059832	1-3	3
BL21700	ENSDARG00000078529	1-3	3
BL21700	ENSDARG00000075133	1-3	3
BL00687	ENSDARG00000010149	1-1	1
BL00686	ENSDARG00000076939	1-1	1
BL00682	ENSDARG00000104076	1-2	3
BL00682	ENSDARG00000062450	1-2	3
BL00682	ENSDARG00000062900	1-2	3
BL11503	ENSDARG00000062016	1-1	1
BL11501	ENSDARG00000040615	1-1	1
BL05440	ENSDARG00000076127	1-4	3
BL05440	ENSDARG00000079586	1-4	3
BL05440	ENSDARG00000023771	1-4	3
BL11270	ENSDARG00000070000	1-4	5
BL11270	ENSDARG00000036107	1-4	5
BL11270	ENSDARG00000020761	1-4	5
BL11270	ENSDARG00000036028	1-4	5
BL11270	ENSDARG00000052690	1-4	5
BL02350	ENSDARG00000079097	1-2	3
BL02350	ENSDARG00000077073	1-2	3
BL02350	ENSDARG00000089190	1-2	3
BL20988	ENSDARG00000034256	1-1	1
BL02354	ENSDARG00000037891	1-1	1
BL12088	ENSDARG00000042934	1-4	4
BL12088	ENSDARG00000104292	1-4	4
BL12088	ENSDARG00000023062	1-4	4
BL12088	ENSDARG00000077882	1-4	4
BL12080	ENSDARG00000062521	1-2	1
BL12081	ENSDARG00000011125	1-2	1
BL24215	ENSDARG00000077962	1-1	2
BL24215	ENSDARG00000061921	1-1	2
BL95591	ENSDARG00000054218	1-2	3
BL95591	ENSDARG00000052537	1-2	3
BL95591	ENSDARG00000067889	1-2	3
BL17619	ENSDARG00000057699	1-1	1
BL17614	ENSDARG00000060411	1-1	1
BL15616	ENSDARG00000026333	1-3	4
BL15616	ENSDARG00000020443	1-3	4
BL15616	ENSDARG00000043410	1-3	4
BL15616	ENSDARG00000036952	1-3	4
BL15612	ENSDARG00000013705	1-2	2
BL15612	ENSDARG00000063089	1-2	2
BL15618	ENSDARG00000098646	1-2	2
BL15618	ENSDARG00000054199	1-2	2
BL15619	ENSDARG00000045132	1-4	4
BL15619	ENSDARG00000013623	1-4	4
BL15619	ENSDARG00000021564	1-4	4
BL15619	ENSDARG00000003695	1-4	4
BL19610	ENSDARG00000060380	1-1	1
BL19616	ENSDARG00000070673	1-1	1
BL19614	ENSDARG00000104765	1-1	1
BL24230	ENSDARG00000016855	1-1	1
BL06133	ENSDARG00000005374	1-1	1
BL06132	ENSDARG00000058861	1-1	1
BL06134	ENSDARG00000105214	1-2	2
BL06134	ENSDARG00000104384	1-2	2
BL06138	ENSDARG00000005926	1-1	1
BL21773	ENSDARG00000045095	1-1	1
BL21770	ENSDARG00000018008	1-1	1
BL21774	ENSDARG00000076965	1-1	1
BL06685	ENSDARG00000015970	1-3	3
BL06685	ENSDARG00000035540	1-3	3
BL06685	ENSDARG00000074747	1-3	3
BL06129	ENSDARG00000076991	1-1	1
BL23953	ENSDARG00000056619	1-4	4
BL23953	ENSDARG00000035420	1-4	4
BL23953	ENSDARG00000010654	1-4	4
BL23953	ENSDARG00000078326	1-4	4
BL24227	ENSDARG00000078139	1-2	2
BL24227	ENSDARG00000060734	1-2	2
BL12588	ENSDARG00000056130	1-3	1
BL18841	ENSDARG00000014479	1-1	1
BL01483	ENSDARG00000020699	1-1	1
BL01480	ENSDARG00000033184	1-2	3
BL01480	ENSDARG00000036446	1-2	3
BL01480	ENSDARG00000009477	1-2	3
BL01484	ENSDARG00000075593	1-1	1
BL20428	ENSDARG00000018650	1-1	1
BL19170	ENSDARG00000063309	1-3	5
BL19170	ENSDARG00000023443	1-3	5
BL19170	ENSDARG00000077506	1-3	5
BL19170	ENSDARG00000079374	1-3	5
BL19170	ENSDARG00000002909	1-3	5
BL20945	ENSDARG00000075487	1-1	2
BL20945	ENSDARG00000074033	1-1	2
BL01468	ENSDARG00000071694	1-1	1
BL54023	ENSDARG00000099453	1-1	1
BL05568	ENSDARG00000007092	1-1	1
BL05564	ENSDARG00000062748	1-3	5
BL05564	ENSDARG00000101293	1-3	5
BL05564	ENSDARG00000060184	1-3	5
BL05564	ENSDARG00000101983	1-3	5
BL05564	ENSDARG00000079585	1-3	5
BL03249	ENSDARG00000074955	1-1	1
BL04216	ENSDARG00000035390	1-2	2
BL04216	ENSDARG00000038239	1-2	2
BL03241	ENSDARG00000074506	1-1	1
BL04211	ENSDARG00000008706	1-2	1
BL02504	ENSDARG00000063636	1-1	1
BL08402	ENSDARG00000003829	1-1	1
BL07331	ENSDARG00000023448	1-2	2
BL07331	ENSDARG00000053190	1-2	2
BL06321	ENSDARG00000061335	1-2	2
BL06321	ENSDARG00000099227	1-2	2
BL14114	ENSDARG00000077852	1-2	2
BL14114	ENSDARG00000060354	1-2	2
BL09765	ENSDARG00000102590	1-1	1
BL95582	ENSDARG00000017742	1-4	6
BL95582	ENSDARG00000025671	1-4	6
BL95582	ENSDARG00000076508	1-4	6
BL95582	ENSDARG00000040156	1-4	6
BL95582	ENSDARG00000100267	1-4	6
BL95582	ENSDARG00000077654	1-4	6
BL21209	ENSDARG00000088232	1-2	2
BL21209	ENSDARG00000075467	1-2	2
BL12557	ENSDARG00000059503	1-1	1
BL16575	ENSDARG00000004880	1-3	1
BL12865	ENSDARG00000087303	1-3	2
BL12865	ENSDARG00000036074	1-3	2
BL12862	ENSDARG00000040041	1-1	1
BL11283	ENSDARG00000105117	1-1	1
BL11282	ENSDARG00000056204	1-1	1
BL11285	ENSDARG00000030153	1-1	1
BL13801	ENSDARG00000056167	1-1	1
BL08612	ENSDARG00000076650	1-1	2
BL08612	ENSDARG00000060280	1-1	2
BL13718	ENSDARG00000003449	1-1	1
BL02969	ENSDARG00000004059	1-1	1
BL02961	ENSDARG00000103135	1-1	1
BL02962	ENSDARG00000062448	1-2	2
BL02962	ENSDARG00000069030	1-2	2
BL02965	ENSDARG00000053318	1-1	1
BL02967	ENSDARG00000100392	1-3	1
BL05604	ENSDARG00000103027	1-1	1
BL05605	ENSDARG00000068177	1-3	3
BL05605	ENSDARG00000103959	1-3	3
BL05605	ENSDARG00000018476	1-3	3
BL16577	ENSDARG00000062304	1-1	2
BL16577	ENSDARG00000018285	1-1	2
BL05600	ENSDARG00000055883	1-1	1
BL05601	ENSDARG00000062083	1-1	1
BL05603	ENSDARG00000034181	1-2	3
BL05603	ENSDARG00000016454	1-2	3
BL05603	ENSDARG00000004111	1-2	3
BL10575	ENSDARG00000055787	1-1	1
BL10576	ENSDARG00000100231	1-1	1
BL10577	ENSDARG00000001431	1-4	4
BL10577	ENSDARG00000007219	1-4	4
BL10577	ENSDARG00000071090	1-4	4
BL10577	ENSDARG00000013755	1-4	4
BL96110	ENSDARG00000069085	1-1	1
BL08400	ENSDARG00000077760	1-1	1
BL08403	ENSDARG00000070447	1-1	2
BL08403	ENSDARG00000098286	1-1	2
BL08409	ENSDARG00000028327	1-2	1
BL08408	ENSDARG00000040851	1-2	2
BL08408	ENSDARG00000053835	1-2	2
BL03763	ENSDARG00000062147	1-1	1
BL03765	ENSDARG00000002880	1-1	1
BL09448	ENSDARG00000007959	1-1	2
BL09448	ENSDARG00000102906	1-1	2
BL09449	ENSDARG00000070455	1-1	1
BL17138	ENSDARG00000055899	1-1	1
BL12329	ENSDARG00000070794	1-2	2
BL12329	ENSDARG00000039196	1-2	2
BL12328	ENSDARG00000102184	1-1	1
BL14448	ENSDARG00000033029	1-1	2
BL14448	ENSDARG00000030417	1-1	2
BL14449	ENSDARG00000103125	1-1	1
BL13499	ENSDARG00000105192	1-1	2
BL13499	ENSDARG00000003197	1-1	2
BL13495	ENSDARG00000010792	1-3	1
BL14440	ENSDARG00000003527	1-1	1
BL17792	ENSDARG00000045753	1-1	2
BL17792	ENSDARG00000035273	1-1	2
BL17795	ENSDARG00000052703	1-2	2
BL17795	ENSDARG00000079516	1-2	2
BL24788	ENSDARG00000042270	1-1	1
BL21153	ENSDARG00000098859	1-1	1
BL21156	ENSDARG00000023989	1-1	1
BL11531	ENSDARG00000020187	1-4	4
BL11531	ENSDARG00000058593	1-4	4
BL11531	ENSDARG00000013804	1-4	4
BL11531	ENSDARG00000035329	1-4	4
BL21155	ENSDARG00000059455	1-2	3
BL21155	ENSDARG00000077461	1-2	3
BL21155	ENSDARG00000079029	1-2	3
BL15792	ENSDARG00000023591	1-1	1
BL15797	ENSDARG00000056059	1-1	2
BL15797	ENSDARG00000041317	1-1	2
BL23743	ENSDARG00000098355	1-2	1
BL23748	ENSDARG00000045269	1-1	1
BL16771	ENSDARG00000025220	1-1	1
BL18777	ENSDARG00000045123	1-1	1
BL24919	ENSDARG00000003655	1-2	2
BL24919	ENSDARG00000019033	1-2	2
BL24918	ENSDARG00000044153	1-1	2
BL24918	ENSDARG00000102012	1-1	2
BL24916	ENSDARG00000100157	1-1	1
BL20164	ENSDARG00000103619	1-1	1
BL20166	ENSDARG00000070073	1-1	1
BL20162	ENSDARG00000007250	1-1	1
BL07456	ENSDARG00000046141	1-1	1
BL24006	ENSDARG00000055737	1-1	1
BL24001	ENSDARG00000045428	1-1	1
BL40965	ENSDARG00000036775	1-1	1
BL21635	ENSDARG00000036096	1-2	3
BL21635	ENSDARG00000010207	1-2	3
BL21635	ENSDARG00000006389	1-2	3
BL21632	ENSDARG00000063626	1-2	1
BL21630	ENSDARG00000054155	1-2	1
BL23071	ENSDARG00000044016	1-1	2
BL23071	ENSDARG00000042141	1-1	2
BL07095	ENSDARG00000078582	1-1	1
BL01858	ENSDARG00000026839	1-1	1
BL01853	ENSDARG00000044492	1-1	2
BL01853	ENSDARG00000103225	1-1	2
BL06493	ENSDARG00000079067	1-1	1
BL20586	ENSDARG00000073933	1-2	2
BL20586	ENSDARG00000017242	1-2	2
BL20585	ENSDARG00000075445	1-3	2
BL20585	ENSDARG00000001303	1-3	2
BL20580	ENSDARG00000104223	1-1	1
BL01149	ENSDARG00000036212	1-1	1
BL01141	ENSDARG00000102452	1-1	2
BL01141	ENSDARG00000036116	1-1	2
BL00431	ENSDARG00000018494	1-1	1
BL00434	ENSDARG00000059711	1-1	1
BL00435	ENSDARG00000029057	1-2	2
BL00435	ENSDARG00000105208	1-2	2
BL04534	ENSDARG00000076914	1-1	1
BL04533	ENSDARG00000007523	1-1	1
BL04532	ENSDARG00000005772	1-1	1
BL23626	ENSDARG00000036304	1-1	2
BL23626	ENSDARG00000092662	1-1	2
BL22745	ENSDARG00000016904	1-1	1
BL23623	ENSDARG00000053026	1-1	2
BL23623	ENSDARG00000062606	1-1	2
BL16221	ENSDARG00000029865	1-3	4
BL16221	ENSDARG00000012460	1-3	4
BL16221	ENSDARG00000000804	1-3	4
BL16221	ENSDARG00000044044	1-3	4
BL04390	ENSDARG00000036549	1-2	2
BL04390	ENSDARG00000069044	1-2	2
BL04393	ENSDARG00000055652	1-1	2
BL04393	ENSDARG00000099079	1-1	2
BL04394	ENSDARG00000074552	1-1	1
BL03169	ENSDARG00000075857	1-1	1
BL04396	ENSDARG00000038577	1-1	1
BL03160	ENSDARG00000059654	1-1	2
BL03160	ENSDARG00000074213	1-1	2
BL07847	ENSDARG00000040314	1-1	1
BL07842	ENSDARG00000018904	1-1	1
BL12697	ENSDARG00000024588	1-2	4
BL12697	ENSDARG00000103647	1-2	4
BL12697	ENSDARG00000032199	1-2	4
BL12697	ENSDARG00000074082	1-2	4
BL95957	ENSDARG00000071150	1-1	1
BL08617	ENSDARG00000078767	1-1	1
BL06824	ENSDARG00000087229	1-1	1
BL06826	ENSDARG00000037860	1-2	2
BL06826	ENSDARG00000045230	1-2	2
BL06820	ENSDARG00000071699	1-1	1
BL18963	ENSDARG00000059714	1-1	1
BL06828	ENSDARG00000070568	1-1	1
BL35064	ENSDARG00000076440	1-2	4
BL35064	ENSDARG00000087517	1-2	4
BL35064	ENSDARG00000005544	1-2	4
BL35064	ENSDARG00000032369	1-2	4
BL13301	ENSDARG00000044943	1-1	1
BL15229	ENSDARG00000063677	1-2	2
BL15229	ENSDARG00000099692	1-2	2
BL03952	ENSDARG00000041908	1-1	1
BL03953	ENSDARG00000075650	1-1	1
BL96092	ENSDARG00000019856	1-4	6
BL96092	ENSDARG00000104139	1-4	6
BL96092	ENSDARG00000010472	1-4	6
BL96092	ENSDARG00000001870	1-4	6
BL96092	ENSDARG00000018259	1-4	6
BL96092	ENSDARG00000002791	1-4	6
BL96095	ENSDARG00000037040	1-1	1
BL00372	ENSDARG00000056672	1-1	1
BL05851	ENSDARG00000094901	1-4	4
BL05851	ENSDARG00000096662	1-4	4
BL05851	ENSDARG00000014031	1-4	4
BL05851	ENSDARG00000104719	1-4	4
BL24555	ENSDARG00000077988	1-1	1
BL11216	ENSDARG00000005821	1-2	1
BL09964	ENSDARG00000012572	1-1	1
BL09961	ENSDARG00000038151	1-2	2
BL09961	ENSDARG00000070565	1-2	2
BL08611	ENSDARG00000094191	1-1	1
BL08618	ENSDARG00000091576	1-2	1
BL29045	ENSDARG00000075492	1-1	1
BL87152	ENSDARG00000016112	1-1	1
BL12178	ENSDARG00000061223	1-2	1
BL12179	ENSDARG00000005561	1-1	1
BL20872	ENSDARG00000020301	1-1	1
BL20870	ENSDARG00000054867	1-1	1
BL20879	ENSDARG00000099368	1-1	1
BL18133	ENSDARG00000027234	1-1	1
BL17035	ENSDARG00000019581	1-1	1
BL19208	ENSDARG00000025212	1-1	1
BL14639	ENSDARG00000052010	1-1	1
BL14634	ENSDARG00000102412	1-2	1
BL74986	ENSDARG00000031720	1-3	3
BL74986	ENSDARG00000060637	1-3	3
BL74986	ENSDARG00000073883	1-3	3
BL05933	ENSDARG00000015206	1-3	5
BL05933	ENSDARG00000004735	1-3	5
BL05933	ENSDARG00000040564	1-3	5
BL05933	ENSDARG00000079780	1-3	5
BL05933	ENSDARG00000056830	1-3	5
BL05935	ENSDARG00000068855	1-1	2
BL05935	ENSDARG00000062924	1-1	2
BL29477	ENSDARG00000103908	1-1	2
BL29477	ENSDARG00000075132	1-1	2
BL29476	ENSDARG00000097660	1-2	1
BL18637	ENSDARG00000074084	1-2	2
BL18637	ENSDARG00000059003	1-2	2
BL20010	ENSDARG00000010267	1-1	2
BL20010	ENSDARG00000086853	1-1	2
BL20011	ENSDARG00000021483	1-2	3
BL20011	ENSDARG00000057016	1-2	3
BL20011	ENSDARG00000013858	1-2	3
BL20013	ENSDARG00000069726	1-2	1
BL24700	ENSDARG00000037892	1-1	1
BL24701	ENSDARG00000058076	1-1	1
BL24705	ENSDARG00000014692	1-1	1
BL07399	ENSDARG00000056381	1-1	1
BL07391	ENSDARG00000075571	1-2	4
BL07391	ENSDARG00000079934	1-2	4
BL07391	ENSDARG00000098215	1-2	4
BL07391	ENSDARG00000079496	1-2	4
BL19589	ENSDARG00000100002	1-1	1
BL19586	ENSDARG00000026359	1-1	2
BL19586	ENSDARG00000016704	1-1	2
BL07640	ENSDARG00000056683	1-1	1
BL95334	ENSDARG00000045836	1-2	3
BL95334	ENSDARG00000000857	1-2	3
BL95334	ENSDARG00000028721	1-2	3
BL07649	ENSDARG00000006290	1-1	1
BL21864	ENSDARG00000089291	1-1	1
BL21860	ENSDARG00000059951	1-1	1
BL10323	ENSDARG00000011405	1-1	1
BL46622	ENSDARG00000095675	1-1	1
BL05098	ENSDARG00000074170	1-1	1
BL05096	ENSDARG00000077709	1-3	6
BL05096	ENSDARG00000102125	1-3	6
BL05096	ENSDARG00000073822	1-3	6
BL05096	ENSDARG00000016551	1-3	6
BL05096	ENSDARG00000099850	1-3	6
BL05096	ENSDARG00000093091	1-3	6
BL17300	ENSDARG00000045910	1-1	1
BL11054	ENSDARG00000104030	1-1	1
BL11050	ENSDARG00000026862	1-1	1
BL11051	ENSDARG00000002760	1-3	4
BL11051	ENSDARG00000042784	1-3	4
BL11051	ENSDARG00000005510	1-3	4
BL11051	ENSDARG00000053479	1-3	4
BL07701	ENSDARG00000101279	1-1	3
BL07701	ENSDARG00000057096	1-1	3
BL07701	ENSDARG00000014309	1-1	3
BL30603	ENSDARG00000068122	1-1	1
BL11582	ENSDARG00000101877	1-1	1
BL10690	ENSDARG00000011613	1-1	2
BL10690	ENSDARG00000041853	1-1	2
BL11580	ENSDARG00000005945	1-1	1
BL02722	ENSDARG00000076755	1-1	1
BL00609	ENSDARG00000038905	1-1	1
BL00607	ENSDARG00000018190	1-1	1
BL19567	ENSDARG00000054255	1-1	1
BL03558	ENSDARG00000019383	1-2	3
BL03558	ENSDARG00000104283	1-2	3
BL03558	ENSDARG00000016464	1-2	3
BL02602	ENSDARG00000089856	1-1	1
BL03550	ENSDARG00000011837	1-1	1
BL03554	ENSDARG00000057042	1-1	1
BL02600	ENSDARG00000020158	1-1	1
BL02603	ENSDARG00000007863	1-2	2
BL02603	ENSDARG00000002168	1-2	2
BL01604	ENSDARG00000022129	1-1	1
BL02606	ENSDARG00000062425	1-1	1
BL97298	ENSDARG00000011076	1-1	1
BL16583	ENSDARG00000056985	1-1	1
BL16584	ENSDARG00000053995	1-1	1
BL16057	ENSDARG00000012274	1-2	4
BL16057	ENSDARG00000013274	1-2	4
BL16057	ENSDARG00000014565	1-2	4
BL16057	ENSDARG00000077012	1-2	4
BL16053	ENSDARG00000016375	1-1	1
BL08965	ENSDARG00000034982	1-1	1
BL23138	ENSDARG00000063701	1-1	2
BL23138	ENSDARG00000042652	1-1	2
BL23134	ENSDARG00000036190	1-1	1
BL09372	ENSDARG00000089976	1-2	1
BL22665	ENSDARG00000055540	1-4	7
BL22665	ENSDARG00000002037	1-4	7
BL22665	ENSDARG00000001953	1-4	7
BL22665	ENSDARG00000037140	1-4	7
BL22665	ENSDARG00000023840	1-4	7
BL22665	ENSDARG00000074457	1-4	7
BL22665	ENSDARG00000029075	1-4	7
BL22666	ENSDARG00000102798	1-1	1
BL08136	ENSDARG00000056160	1-1	1
BL08131	ENSDARG00000076011	1-1	2
BL08131	ENSDARG00000010655	1-1	2
BL24549	ENSDARG00000044540	1-1	1
BL09028	ENSDARG00000037000	1-1	1
BL24564	ENSDARG00000102741	1-2	3
BL24564	ENSDARG00000028119	1-2	3
BL24564	ENSDARG00000035993	1-2	3
BL15961	ENSDARG00000044267	1-1	1
BL02185	ENSDARG00000002240	1-2	2
BL02185	ENSDARG00000000656	1-2	2
BL19879	ENSDARG00000063268	1-1	1
BL03463	ENSDARG00000060323	1-1	1
BL17084	ENSDARG00000055991	1-1	2
BL17084	ENSDARG00000008840	1-1	2
BL18058	ENSDARG00000042975	1-1	1
BL18057	ENSDARG00000096415	1-3	4
BL18057	ENSDARG00000017661	1-3	4
BL18057	ENSDARG00000059406	1-3	4
BL18057	ENSDARG00000054533	1-3	4
BL18055	ENSDARG00000019503	1-3	1
BL15823	ENSDARG00000020107	1-2	2
BL15823	ENSDARG00000074120	1-2	2
BL15825	ENSDARG00000061207	1-2	2
BL15825	ENSDARG00000074760	1-2	2
BL15826	ENSDARG00000063213	1-1	1
BL05874	ENSDARG00000042025	1-1	1
BL05873	ENSDARG00000061508	1-1	1
BL05870	ENSDARG00000002026	1-1	3
BL05870	ENSDARG00000010018	1-1	3
BL05870	ENSDARG00000097478	1-1	3
BL06778	ENSDARG00000101020	1-3	4
BL06778	ENSDARG00000052856	1-3	4
BL06778	ENSDARG00000069469	1-3	4
BL06778	ENSDARG00000070475	1-3	4
BL19013	ENSDARG00000020986	1-1	1
BL19017	ENSDARG00000078435	1-1	1
BL59661	ENSDARG00000074036	1-1	1
BL21242	ENSDARG00000087599	1-4	6
BL21242	ENSDARG00000037122	1-4	6
BL21242	ENSDARG00000105088	1-4	6
BL21242	ENSDARG00000003403	1-4	6
BL21242	ENSDARG00000005479	1-4	6
BL21242	ENSDARG00000011171	1-4	6
BL08194	ENSDARG00000104777	1-1	1
BL03793	ENSDARG00000018010	1-2	2
BL03793	ENSDARG00000104089	1-2	2
BL03794	ENSDARG00000010400	1-2	2
BL03794	ENSDARG00000095170	1-2	2
BL03795	ENSDARG00000001621	1-1	2
BL03795	ENSDARG00000042004	1-1	2
BL00740	ENSDARG00000013802	1-1	1
BL04839	ENSDARG00000104259	1-2	2
BL04839	ENSDARG00000105254	1-2	2
BL04830	ENSDARG00000100548	1-1	1
BL04831	ENSDARG00000001804	1-2	2
BL04831	ENSDARG00000057060	1-2	2
BL04834	ENSDARG00000079241	1-1	1
BL04835	ENSDARG00000077299	1-1	1
BL04837	ENSDARG00000062216	1-2	2
BL04837	ENSDARG00000024184	1-2	2
BL18867	ENSDARG00000053127	1-1	1
BL18862	ENSDARG00000021913	1-1	1
BL18860	ENSDARG00000044102	1-1	1
BL22835	ENSDARG00000059982	1-1	1
BL35436	ENSDARG00000068156	1-1	1
BL13885	ENSDARG00000041915	1-1	1
BL13884	ENSDARG00000019135	1-1	2
BL13884	ENSDARG00000060211	1-1	2
BL13887	ENSDARG00000089921	1-1	1
BL13886	ENSDARG00000013478	1-1	1
BL13880	ENSDARG00000004713	1-1	1
BL13882	ENSDARG00000036071	1-1	1
BL21562	ENSDARG00000006766	1-1	1
BL10282	ENSDARG00000035175	1-1	1
BL10286	ENSDARG00000098544	1-1	1
BL08333	ENSDARG00000062080	1-4	3
BL08333	ENSDARG00000075437	1-4	3
BL08333	ENSDARG00000098909	1-4	3
BL12265	ENSDARG00000057833	1-1	2
BL12265	ENSDARG00000001733	1-1	2
BL08336	ENSDARG00000009218	1-1	1
BL00106	ENSDARG00000040584	1-1	1
BL03458	ENSDARG00000079552	1-3	2
BL03458	ENSDARG00000076466	1-3	2
BL03457	ENSDARG00000037283	1-1	1
BL04488	ENSDARG00000063319	1-1	2
BL04488	ENSDARG00000079946	1-1	2
BL08485	ENSDARG00000040455	1-1	1
BL08481	ENSDARG00000105116	1-1	1
BL04157	ENSDARG00000105010	1-1	1
BL11628	ENSDARG00000013329	1-1	1
BL11622	ENSDARG00000043661	1-2	1
BL11627	ENSDARG00000004131	1-1	1
BL11624	ENSDARG00000042899	1-2	3
BL11624	ENSDARG00000004386	1-2	3
BL11624	ENSDARG00000042213	1-2	3
BL97464	ENSDARG00000054574	1-1	1
BL22847	ENSDARG00000102846	1-1	1
BL22597	ENSDARG00000003841	1-1	1
BL21171	ENSDARG00000037393	1-2	4
BL21171	ENSDARG00000036848	1-2	4
BL21171	ENSDARG00000037748	1-2	4
BL21171	ENSDARG00000061120	1-2	4
BL17712	ENSDARG00000036499	1-2	4
BL17712	ENSDARG00000069159	1-2	4
BL17712	ENSDARG00000029036	1-2	4
BL17712	ENSDARG00000074719	1-2	4
BL17715	ENSDARG00000040033	1-1	1
BL13415	ENSDARG00000014956	1-1	2
BL13415	ENSDARG00000104172	1-1	2
BL13410	ENSDARG00000016754	1-1	1
BL90788	ENSDARG00000078835	1-1	1
BL15714	ENSDARG00000078118	1-1	2
BL15714	ENSDARG00000032653	1-1	2
BL15719	ENSDARG00000036082	1-2	3
BL15719	ENSDARG00000057239	1-2	3
BL15719	ENSDARG00000029432	1-2	3
BL22035	ENSDARG00000004525	1-1	1
BL22036	ENSDARG00000013813	1-2	3
BL22036	ENSDARG00000016396	1-2	3
BL22036	ENSDARG00000104637	1-2	3
BL06762	ENSDARG00000102569	1-1	1
BL06761	ENSDARG00000016010	1-1	1
BL06767	ENSDARG00000020820	1-1	1
BL24088	ENSDARG00000028173	1-3	4
BL24088	ENSDARG00000104005	1-3	4
BL24088	ENSDARG00000052330	1-3	4
BL24088	ENSDARG00000024560	1-3	4
BL24087	ENSDARG00000045540	1-3	3
BL24087	ENSDARG00000069654	1-3	3
